STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       4466;2019120621:12;    1;  126.0;    0.0;    0.0;   0;   137.50;2019120622:00;eor
       4466;2019120622:12;    1;  126.0;    0.0;    0.0;   0;   143.83;2019120623:00;eor
       4466;2019120623:12;    1;  126.0;    0.0;    0.0;   0;   147.52;2019120700:00;eor
       4466;2019120700:12;    1;  126.0;    0.0;    0.0;   0;   147.52;2019120701:00;eor
       4466;2019120701:12;    1;  127.0;    0.0;    0.0;   0;   143.85;2019120702:00;eor
       4466;2019120702:12;    1;  127.0;    0.0;    0.0;   0;   137.52;2019120703:00;eor
       4466;2019120703:12;    1;  127.0;    0.0;    0.0;   0;   129.69;2019120704:00;eor
       4466;2019120704:13;    1;  127.0;    0.0;    0.0;   0;   121.17;2019120705:00;eor
       4466;2019120705:13;    1;  125.0;    0.0;    0.0;   0;   112.49;2019120706:00;eor
       4466;2019120706:13;    1;  123.0;    0.0;    0.0;   0;   104.04;2019120707:00;eor
       4466;2019120707:13;    1;  124.0;    0.0;    0.0;   0;    96.18;2019120708:00;eor
       4466;2019120708:13;    1;  110.0;    5.0;    6.0;   6;    89.23;2019120709:00;eor
       4466;2019120709:13;    1;  112.0;   22.0;   23.0;  21;    83.55;2019120710:00;eor
       4466;2019120710:13;    1;  107.0;   27.0;   33.0;  12;    79.51;2019120711:00;eor
       4466;2019120711:13;    1;  105.0;   34.0;   59.0;  45;    77.39;2019120712:00;eor
       4466;2019120712:13;    1;  111.0;   36.0;   37.0;   2;    77.40;2019120713:00;eor
       4466;2019120713:13;    1;  107.0;   28.0;   35.0;  17;    79.52;2019120714:00;eor
       4466;2019120714:13;    1;   98.0;   18.0;   21.0;  10;    83.57;2019120715:00;eor
       4466;2019120715:13;    1;   98.0;    5.0;    5.0;   0;    89.26;2019120716:00;eor
       4466;2019120716:13;    1;  109.0;    0.0;    0.0;   0;    96.21;2019120717:00;eor
       4466;2019120717:13;    1;  119.0;    0.0;    0.0;   0;   104.08;2019120718:00;eor
       4466;2019120718:13;    1;  124.0;    0.0;    0.0;   0;   112.54;2019120719:00;eor
       4466;2019120719:13;    1;  123.0;    0.0;    0.0;   0;   121.22;2019120720:00;eor
       4466;2019120720:13;    1;  122.0;    0.0;    0.0;   0;   129.75;2019120721:00;eor
       4466;2019120721:13;    1;  126.0;    0.0;    0.0;   0;   137.60;2019120722:00;eor
       4466;2019120722:13;    1;  125.0;    0.0;    0.0;   0;   143.94;2019120723:00;eor
       4466;2019120723:13;    1;  125.0;    0.0;    0.0;   0;   147.63;2019120800:00;eor
       4466;2019120800:13;    1;  124.0;    0.0;    0.0;   0;   147.63;2019120801:00;eor
